Unnamed: 0,Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,price_label,county_num,city_num,state_num,address_num
13705,74126,314999.0,2,1,1036,6345 W 53RD ST N,Tulsa,Oklahoma,11127,178.5,Osage,53374.0,36.23502,-96.0331,2,70,51,20,13278
13784,74135,309900.0,3,2,1779,3739 E 56TH ST,Tulsa,Oklahoma,20096,1262.3,Tulsa,91554.0,36.09725,-95.92315,2,37,51,20,13357
13777,74134,302490.0,3,2,1560,3969 S 152ND EAST AVE,Tulsa,Oklahoma,21719,694.6,Tulsa,97001.0,36.1106,-95.80156,2,37,51,20,13350
24636,74131,214000.0,2,2,1227,8026 W 75TH ST,Tulsa,Oklahoma,2279,91.9,Creek,93352.0,36.05172,-96.07291,1,38,51,20,23940
24645,74133,224900.0,2,2,1246,7403 E 84TH ST,Tulsa,Oklahoma,47158,1332.3,Tulsa,101960.0,36.04113,-95.87955,1,37,51,20,23949
24612,74128,225000.0,3,2,1410,11923 E 2ND ST,Tulsa,Oklahoma,13399,1439.6,Tulsa,58490.0,36.1472,-95.85089,1,37,51,20,23916
13818,74137,360000.0,3,2,2061,9353 S COLLEGE CT,Tulsa,Oklahoma,28271,1049.5,Tulsa,150000.0,36.02038,-95.92932,2,37,51,20,13391
36001,74136,100000.0,4,3,2262,6218 E 74TH ST,Tulsa,Oklahoma,31154,1555.1,Tulsa,81725.0,36.06188,-95.9419,0,37,51,20,34977
24528,74112,175000.0,3,2,1482,7128 E 8TH ST,Tulsa,Oklahoma,21919,1241.4,Tulsa,68714.0,36.14696,-95.90437,1,37,51,20,23832
30328,74133,389000.0,4,3,3312,7422 E 63RD PL,Tulsa,Oklahoma,47158,1332.3,Tulsa,101960.0,36.04113,-95.87955,3,37,51,20,29455
24460,74105,190000.0,3,3,1608,1535 E 60TH PL,Tulsa,Oklahoma,26580,1412.1,Tulsa,129169.0,36.0975,-95.9641,1,37,51,20,23764
13703,74120,342500.0,2,3,1756,1428 S QUINCY AVE APT C,Tulsa,Oklahoma,5207,955.3,Tulsa,102333.0,36.1504,-95.97689,2,37,51,20,13276
6509,74120,525000.0,3,4,2995,1443 S OWASSO AVE,Tulsa,Oklahoma,5207,955.3,Tulsa,102333.0,36.1504,-95.97689,4,37,51,20,6268
24697,74136,189000.0,4,2,1846,3834 E 69TH ST,Tulsa,Oklahoma,31154,1555.1,Tulsa,81725.0,36.06188,-95.9419,1,37,51,20,24001
