Unnamed: 0,Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,price_label,county_num,city_num,state_num,address_num
10574,32222,299000.0,2,2,1568,7190 BEEKMAN LAKE DR S,Jacksonville,Florida,14879,504.2,Duval,89939.0,30.21651,-81.8293,2,15,27,7,10185
20546,32208,225000.0,3,2,1798,3253 TROUT RIVER BLVD,Jacksonville,Florida,32244,1080.0,Duval,54640.0,30.39351,-81.68245,1,15,27,7,19883
10598,32225,375000.0,3,2,1744,12347 ARROWLEAF LN,Jacksonville,Florida,55401,813.1,Duval,107979.0,30.35768,-81.50592,2,15,27,7,10209
28729,32218,448990.0,4,3,2363,11 PECAN RIDGE CT,Jacksonville,Florida,68534,273.8,Duval,82140.0,30.48673,-81.66959,3,15,27,7,27881
34310,32206,65000.0,4,1,936,1985 FRANKLIN ST,Jacksonville,Florida,16406,1016.2,Duval,49264.0,30.35069,-81.63865,0,15,27,7,33293
472,32223,679900.0,4,3,2934,3789 SUMMER GARDEN LN,Jacksonville,Florida,25824,866.8,Duval,120947.0,30.1549,-81.64821,5,15,27,7,446
34346,32220,51500.0,2,1,805,8525 PEACH ST,Jacksonville,Florida,12020,120.3,Duval,84845.0,30.33693,-81.85335,0,15,27,7,33328
20571,32209,135000.0,3,1,950,1516 W 25TH ST,Jacksonville,Florida,35915,1489.9,Duval,42717.0,30.36141,-81.69573,1,15,27,7,19908
20501,32206,129900.0,2,1,966,516 W 17TH ST,Jacksonville,Florida,16406,1016.2,Duval,49264.0,30.35069,-81.63865,1,15,27,7,19839
28693,32205,424900.0,3,2,1472,1020 CHERRY ST,Jacksonville,Florida,31398,1566.7,Duval,88245.0,30.30275,-81.72257,3,15,27,7,27845
20570,32209,129000.0,2,1,1040,3511 STUART ST,Jacksonville,Florida,35915,1489.9,Duval,42717.0,30.36141,-81.69573,1,15,27,7,19907
10569,32221,335000.0,4,2,1705,11534 CARSON LAKE DR,Jacksonville,Florida,29346,238.7,Duval,91637.0,30.26043,-81.86764,2,15,27,7,10173
10411,32205,275000.0,3,1,1012,4763 KINGSBURY ST,Jacksonville,Florida,31398,1566.7,Duval,88245.0,30.30275,-81.72257,2,15,27,7,10028
34334,32209,87500.0,3,2,1692,2256 W 13TH ST,Jacksonville,Florida,35915,1489.9,Duval,42717.0,30.36141,-81.69573,0,15,27,7,33316
28740,32220,385500.0,4,3,3454,9246 BEARDEN RD,Jacksonville,Florida,12020,120.3,Duval,84845.0,30.33693,-81.85335,3,15,27,7,27891
20587,32210,159900.0,2,2,1118,5100 PLAYPEN DR UNIT 12,Jacksonville,Florida,66824,1178.7,Duval,81628.0,30.26491,-81.74746,1,15,27,7,19922
10691,32277,302000.0,3,2,1585,5708 WILCREST CIR S,Jacksonville,Florida,33948,1831.0,Duval,68969.0,30.3728,-81.59465,2,15,27,7,10299
10637,32244,339900.0,4,2,1759,7298 WHEAT RD,Jacksonville,Florida,63709,1043.5,Duval,72650.0,30.2171,-81.75384,2,15,27,7,10246
10434,32208,275000.0,4,3,2083,7448 CLINTON ST,Jacksonville,Florida,32244,1080.0,Duval,54640.0,30.39351,-81.68245,2,15,27,7,10050
28761,32224,469000.0,3,2,1883,12842 ELLIS ISLAND DR,Jacksonville,Florida,41366,765.7,Duval,121879.0,30.26815,-81.4642,3,15,27,7,27912
10656,32254,335000.0,8,4,3200,155 SANTA BARBARA AVE,Jacksonville,Florida,13798,429.5,Duval,51308.0,30.34164,-81.73549,2,15,27,7,10265
10668,32256,301990.0,2,3,1210,9174 ALPINE ASTER RD,Jacksonville,Florida,48988,308.2,Duval,95821.0,30.1929,-81.50309,2,15,27,7,10277
34316,32207,110000.0,2,2,761,2507 JERNIGAN RD,Jacksonville,Florida,36711,1238.9,Duval,91810.0,30.29,-81.64018,0,15,27,7,33299
10446,32210,298500.0,4,2,1439,6804 SNOW WHITE DR,Jacksonville,Florida,66824,1178.7,Duval,81628.0,30.26491,-81.74746,2,15,27,7,10062
28793,32246,465000.0,3,2,1796,12781 LOCREN RD,Jacksonville,Florida,56222,1136.5,Duval,91183.0,30.29422,-81.51782,3,15,27,7,27943
462,32204,647000.0,4,2,2708,2589 PARK ST,Jacksonville,Florida,7750,1114.0,Duval,80506.0,30.31636,-81.68095,5,15,27,7,436
