Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,county_num,city_num,state_num,address_num
46234,1025000.0,3,3,4237,4815 FAUNA LN,Indianapolis,Indiana,27238,850.2,Marion,106656.0,39.81077,-86.32665,33,96,11,11562
46219,119900.0,2,1,725,5901 GREENFIELD AVE,Indianapolis,Indiana,38174,1130.2,Marion,70116.0,39.78314,-86.04444,33,96,11,11289
46228,299900.0,3,2,1595,3420 CLEARVIEW DR,Indianapolis,Indiana,16947,826.0,Marion,107898.0,39.8487,-86.20045,33,96,11,11505
46203,285000.0,3,1,1271,1128 S STATE AVE,Indianapolis,Indiana,38829,1075.5,Marion,70925.0,39.7368,-86.09586,33,96,11,11100
46221,224900.0,4,2,2352,3302 S MOORESVILLE RD,Indianapolis,Indiana,27018,522.1,Marion,74748.0,39.69288,-86.23664,33,96,11,11356
46237,325000.0,4,3,2295,5634 NUCKOLS CT,Indianapolis,Indiana,40725,1071.5,Marion,92089.0,39.67247,-86.0759,33,96,11,11630
46201,380000.0,3,2,2263,1421 E VERMONT ST,Indianapolis,Indiana,31193,2156.8,Marion,55588.0,39.77369,-86.10949,33,96,11,11022
46218,169900.0,2,1,918,1701 N BANCROFT ST,Indianapolis,Indiana,29254,1184.1,Marion,43956.0,39.80713,-86.09958,33,96,11,11260
46260,230000.0,2,2,1607,9522 CADBURY CIR,Indianapolis,Indiana,35529,1317.4,Marion,98188.0,39.89744,-86.17927,33,96,11,11791
46260,674500.0,3,3,2640,9168 TAMARACK DR,Indianapolis,Indiana,35529,1317.4,Marion,98188.0,39.89744,-86.17927,33,96,11,11800
46227,205000.0,3,2,1343,3010 WINCHESTER DR,Indianapolis,Indiana,57359,1326.9,Marion,66995.0,39.67607,-86.13145,33,96,11,11464
46214,299000.0,2,2,1832,3464 WINDHAM LAKE CIR,Indianapolis,Indiana,23377,1209.6,Marion,70216.0,39.7917,-86.29009,33,96,11,11185
46229,200000.0,4,3,2681,1626 FOGELSON DR,Indianapolis,Indiana,28062,954.9,Marion,85338.0,39.78852,-85.978,33,96,11,11521
46202,1175000.0,5,4,3042,839 BROADWAY ST,Indianapolis,Indiana,21039,1483.0,Marion,90904.0,39.78363,-86.16187,33,96,11,11042
46203,124900.0,2,2,1598,1521 OLIVE ST,Indianapolis,Indiana,38829,1075.5,Marion,70925.0,39.7368,-86.09586,33,96,11,11108
46203,275000.0,3,3,1791,5742 VICTORY DR,Indianapolis,Indiana,38829,1075.5,Marion,70925.0,39.7368,-86.09586,33,96,11,11057
