Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,county_num,city_num,state_num,address_num
20008,489000.0,1,1,714,2902 PORTER ST NW APT 51,Washington,District of Columbia,30461,3807.2,District of Columbia,193521.0,38.93539,-77.05935,7,41,2,1596
20003,824900.0,2,2,1264,1606 E ST SE,Washington,District of Columbia,34535,5867.2,District of Columbia,191871.0,38.88193,-76.99033,7,41,2,1486
20024,368500.0,1,1,708,520 N ST SW APT S319,Washington,District of Columbia,14525,2556.4,District of Columbia,129167.0,38.87517,-77.0295,7,41,2,2047
20009,289000.0,1,1,605,1415 GIRARD ST NW APT 206,Washington,District of Columbia,51288,15023.9,District of Columbia,179185.0,38.91986,-77.03749,7,41,2,1619
20016,3375000.0,6,7,5664,4915 WESTERN AVE NW,Washington,District of Columbia,34422,2999.2,District of Columbia,268683.0,38.93822,-77.09139,7,41,2,1882
20008,4150000.0,5,6,5020,3302 CLEVELAND AVE NW,Washington,District of Columbia,30461,3807.2,District of Columbia,193521.0,38.93539,-77.05935,7,41,2,1603
20009,524900.0,2,1,741,2517 ONTARIO RD NW # 6,Washington,District of Columbia,51288,15023.9,District of Columbia,179185.0,38.91986,-77.03749,7,41,2,1614
20015,2800000.0,6,6,4578,3421 NORTHAMPTON ST NW,Washington,District of Columbia,15677,1741.5,District of Columbia,299348.0,38.96661,-77.05837,7,41,2,1837
20020,400000.0,3,2,1558,1965 S ST SE,Washington,District of Columbia,54812,4601.9,District of Columbia,70334.0,38.86234,-76.97446,7,41,2,1999
20007,349900.0,1,1,530,4629 MACARTHUR BLVD NW # 1/2A,Washington,District of Columbia,24311,3037.9,District of Columbia,240888.0,38.91259,-77.07756,7,41,2,1570
20017,385000.0,2,2,1128,631 GALLATIN ST NE,Washington,District of Columbia,20221,3514.2,District of Columbia,128320.0,38.93813,-76.99294,7,41,2,1900
20037,800000.0,2,2,1246,955 26TH ST NW APT 201,Washington,District of Columbia,13037,6875.3,District of Columbia,137114.0,38.89213,-77.0535,7,41,2,2115
20002,899000.0,4,4,2173,1327 W VIRGINIA AVE NE,Washington,District of Columbia,68201,5126.3,District of Columbia,147338.0,38.90511,-76.98431,7,41,2,1447
20001,1079000.0,2,3,1537,1224 11TH ST NW APT 4,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018,7,41,2,1322
20007,549000.0,2,1,729,2217 40TH PL NW # 11,Washington,District of Columbia,24311,3037.9,District of Columbia,240888.0,38.91259,-77.07756,7,41,2,1582
20003,620000.0,2,2,1029,1391 PENNSYLVANIA AVE SE UNIT 203,Washington,District of Columbia,34535,5867.2,District of Columbia,191871.0,38.88193,-76.99033,7,41,2,1479
20011,1598500.0,6,5,3580,5106 14TH ST NW,Washington,District of Columbia,67386,4851.3,District of Columbia,137295.0,38.95295,-77.02323,7,41,2,1739
20001,599995.0,1,1,635,920 I ST NW APT 912,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018,7,41,2,1303
20002,948000.0,3,3,1440,1171 ABBEY PL NE,Washington,District of Columbia,68201,5126.3,District of Columbia,147338.0,38.90511,-76.98431,7,41,2,1340
20003,899900.0,3,2,1294,1101 G ST SE,Washington,District of Columbia,34535,5867.2,District of Columbia,191871.0,38.88193,-76.99033,7,41,2,1472
20019,300000.0,2,2,1246,3009 M ST SE,Washington,District of Columbia,64031,4029.0,District of Columbia,76897.0,38.89214,-76.94195,7,41,2,1974
20001,529900.0,1,1,890,400 MASSACHUSETTS AVE NW APT 921,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018,7,41,2,1299
20020,510000.0,3,2,1325,1915 21ST PL SE,Washington,District of Columbia,54812,4601.9,District of Columbia,70334.0,38.86234,-76.97446,7,41,2,2031
20003,899900.0,3,2,1956,1420 K ST SE,Washington,District of Columbia,34535,5867.2,District of Columbia,191871.0,38.88193,-76.99033,7,41,2,1520
20019,479999.0,4,3,1568,501 HILLTOP TER SE,Washington,District of Columbia,64031,4029.0,District of Columbia,76897.0,38.89214,-76.94195,7,41,2,1950
20003,1146000.0,4,2,1968,114 6TH ST SE,Washington,District of Columbia,34535,5867.2,District of Columbia,191871.0,38.88193,-76.99033,7,41,2,1518
20018,399000.0,2,2,780,1352 BRYANT ST NE APT 4A,Washington,District of Columbia,20084,2569.3,District of Columbia,117238.0,38.92596,-76.97281,7,41,2,1910
20019,399999.0,2,1,1275,4326 GAULT PL NE,Washington,District of Columbia,64031,4029.0,District of Columbia,76897.0,38.89214,-76.94195,7,41,2,1956
20020,106000.0,2,1,739,2636 WADE RD SE APT 14,Washington,District of Columbia,54812,4601.9,District of Columbia,70334.0,38.86234,-76.97446,7,41,2,2038
